Balance of Payments and Direct Investment Position Data
Balance of Payments and Direct Investment Position Data
"By Country Only (Major Countries)  (Millions of Dollars) "
"Other Africa, Asia, and Pacific",n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.,n.s.
Addenda:,,,,,,,,,,,,,,,
"  European Union[3]",1247711,1289929,1340384,1457842,1507149,1609015,1649774,1725714,2018276,2134301,2329177,2442581,2482404,2060049,2337366
"  OPEC[4]",12774,12215,12665,11282,14171,15796,15249,14596,15438,14456,23279,27898,n.s.,n.s.,n.s.

Legend/Footnotes
<strong>n.s.</strong>  Not shown.  Data may not be shown for several reasons:
• The data appear on another line in this table.
• The data are not shown in this table but may be available in detailed country- or industry-level tables in this interactive system or in other BEA published tables on direct investment.
"• The data are not available, do not apply, or are not defined."
<strong>(*)</strong> A nonzero value that rounds to zero.
<strong>(D)</strong> indicates that the data in the cell have been suppressed to avoid disclosure of data of individual companies.
"Data are classified by country of the <em>foreign parent</em> of the U.S. affiliate.  The foreign parent is the first person outside the United States in a U.S. affiliate's ownership chain that has a direct investment in the affiliate.  In addition to equity and debt investment from its foreign parent, a U.S. affiliate may receive loans from (or make loans to) foreign affiliates of the foreign parent (FAFPs).  The affiliate may also have interest and services transactions with foreign affiliates of the foreign parent.  The value of these loans and the interest and services transactions are included in these data and are classified by country of the FAFP."
"The composition of the ""Other"" categories shown in this table may change from one year to another.  For a geographic area, ""Other"" is a residual that shows a total for all countries not shown separately under that area.  Because the countries shown separately may change over time as the composition of direct investment changes, data for a particular country may be included in an ""Other"" total in one year but excluded from it in another year.  Changes in the countries shown separately generally take place in years covered by benchmark surveys (or censuses) of direct investment, which usually are conducted once every five years."
"Source: U.S. Bureau of Economic Analysis "
"1.	In 2021, the euro area included Austria, Belgium, Cyprus, Estonia, Finland, France, Germany, Greece, Ireland, Italy, Latvia, Lithuania, Luxembourg, Malta, the Netherlands, Portugal, Slovakia, Slovenia, and Spain. For 2021, the euro area direct investment position in the United States was $2,177,614 million; financial transactions without current-cost adjustment were $153,033 million; and income without current-cost adjustment was $99,654 million."
"2. The ""United Kingdom Islands, Caribbean"" is comprised of British Virgin Islands, Cayman Islands, Montserrat, and Turks and Caicos Islands."
"3. Data for the European Union (EU) reflect the EU membership during the reference period. In 1994, the EU was comprised of Belgium, Denmark, France, Germany, Greece, Ireland, Italy, Luxembourg, Netherlands, Portugal, Spain, and the United Kingdom. Beginning with 1995, Austria, Finland, and Sweden were included. Beginning with second quarter 2004, Cyprus, Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, Slovakia, and Slovenia were included. Bulgaria and Romania were included beginning with first quarter 2007 and Croatia was included beginning with third quarter 2013. The United Kingdom was excluded beginning with first quarter 2020."
4. OPEC (Organization of Petroleum Exporting Countries): data for this group reflects the OPEC membership during the reference period. This aggregate was discontinued after the 2018 reference year.
"If you have a question about the availability of data, E-mail your question to <a href=""mailto:internationalaccounts@bea.gov"">internationalaccounts@bea.gov</a>"
